"hotel","country","total_bookings_country","canceled_bookings_country","cancel_rate_country"
"City Hotel","BEL",1894,415,21.9112988384372
"City Hotel","BRA",1794,729,40.6354515050167
"City Hotel","DEU",6084,1072,17.6199868507561
"City Hotel","ESP",4611,1326,28.7573194534808
"City Hotel","FRA",8804,1723,19.5706497046797
"City Hotel","GBR",5315,1562,29.3885230479774
"City Hotel","IRL",1209,400,33.085194375517
"City Hotel","ITA",3307,1253,37.8893256728152
"City Hotel","NLD",1590,331,20.8176100628931
"City Hotel","PRT",30960,20081,64.8611111111111
"Resort Hotel","BEL",448,59,13.1696428571429
"Resort Hotel","BRA",430,101,23.4883720930233
"Resort Hotel","DEU",1203,146,12.1363258520366
"Resort Hotel","ESP",3957,851,21.5061915592621
"Resort Hotel","FRA",1611,211,13.0974549968963
"Resort Hotel","GBR",6814,891,13.0760199589081
"Resort Hotel","IRL",2166,432,19.9445983379501
"Resort Hotel","ITA",459,80,17.4291938997821
"Resort Hotel","NLD",514,56,10.8949416342412
"Resort Hotel","PRT",17630,7438,42.1894498014748
